name,ticker,networks,market_cap,tbills_amount_est,price,pegged_currency,underlying_assets,underlying_assets_tbills,incorporation_country,regulatory,rating_by_bluechip,weekly_active_addresses,weekly_transfer_volume,contract_addresses
Tether USD,USDT,,"104,358,614,226","67,850,470,784",0.9995,US Dollar,Money Market - Fund+ 6 More,us_treasury_debt,Hong Kong,FinCEN - Financial Crimes Enforcement Network,D,"3,270,262","144,117,337,923",4 Addresses
Circle USD Coin,USDC,,"26,739,379,540","7,391,263,608",0.9993,US Dollar,Money Market - Fund+ 3 More,us_treasury_debt,United States of America,FinCEN - Financial Crimes Enforcement Network,B+,"564,482","164,698,867,553",8 Addresses
MakerDAO Dai,DAI,,"3,193,386,019","1,680,000,000",0.9993,US Dollar,Structured Credit+ 4 More,us_treasury_debt,,,B+,"9,752","17,641,832,182",0x6b1...271d0f
First Digital Labs USD,FDUSD,,"2,921,741,503","405,300,000",0.9987,US Dollar,Money Market - RRP+ 2 More,us_treasury_debt,Hong Kong,,C,122,"4,661,416,130",0xc5f...e16409
Techteryx TrueUSD,TUSD,,"1,181,062,581",,1,US Dollar,Money Market - Fund+ 2 More,us_treasury_debt,British Virgin Islands,,D,546,"22,993,645",2 Addresses
Ethena USDe,USDe,,"955,277,135",,0.9992,US Dollar,Derivatives - Short ETHCryptocurrencies - ETH,,,,,"3,381","827,400,699",0x4c9...1e68b3
Frax Finance,FRAX,,"645,819,263","1,940,686",0.9944,US Dollar,Money Market - Fund+ 4 More,us_treasury_debt,,,D,479,"282,238,508",0x853...75b99e
Binance USD (Paxos),BUSD,,"99,431,339",,1.0161,US Dollar,US Treasury Debt+ 2 More,us_treasury_debt,United States of America,NYDFS - New York State Department of Financial Services,,"21,004","277,514,362",2 Addresses
Tether Euro,EURT,,"435,342,938","283,045,376",1.0884,Euro,Money Market - Fund+ 6 More,us_treasury_debt,Hong Kong,FinCEN - Financial Crimes Enforcement Network,D,91,"2,357,772",0xc58...ede491
Paypal USD (Paxos),PYUSD,,"301,175,241","4,980,250",0.9974,US Dollar,Money Market - RRP+ 2 More,us_treasury_debt,United States of America,NYDFS - New York State Department of Financial Services,A-,928,"159,288,856",0x6c3...23a0e8
Pax Dollar (Paxos),USDP,,"353,101,046","124,525,000",0.9984,US Dollar,US Treasury Debt+ 2 More,us_treasury_debt,United States of America,NYDFS - New York State Department of Financial Services,A-,326,"119,933,519",0x8e8...8289e1
Mountain Protocol USD,USDM,,"149,420,168","151,967,269",0.9993,US Dollar,Public Equity - Treasury ETF+ 4 More,us_treasury_debt,Bermuda,BMA - Bermuda Monetary Authority,B+,13,"850,059",2 Addresses
Gemini Dollar,GUSD,,"146,121,444","10,213,348",0.9991,US Dollar,Money Market - Fund+ 2 More,us_treasury_debt,United States of America,NYDFS - New York State Department of Financial Services,A,550,"31,333,154",0x056...b6d5cd
Stasis Euro,EURS,,"135,501,891",,1.0916,Euro,Bank Deposits - EUR,,Malta,MFSA - Malta Financial Services Authority,,52,"1,220,504",0xdb2...807ad8
Circle Euro Coin,EURC,,"51,729,940",,1.0907,Euro,Bank Deposits - EUR,,United States of America,FinCEN - Financial Crimes Enforcement Network,,131,"30,145,788",0x1ab...1bc33c
Aave GHO,GHO,,"38,978,012",,0.9903,US Dollar,US Treasury Debt - TokenizedCryptocurrencies,us_treasury_debt,,,D,116,"17,826,517",0x40d...ae6c2f
Angle Euro,AGEUR,,"20,018,152",,1.0887,Euro,Corporate Bonds+ 2 More,,,,,97,"16,104,488",0x1a7...fcbce8
GMO Trust Z.com USD,ZUSD,,"18,617,716","18,818,085",0.9982,US Dollar,US Treasury DebtBank Deposits - USD,us_treasury_debt,United States of America,NYDFS - New York State Department of Financial Services,,7,"236,883",2 Addresses
GMO Trust JPY,GYEN,,"13,773,052",,0.0068,Japanese Yen,Bank Deposits - JPY,,United States of America,NYDFS - New York State Department of Financial Services,,30,"292,030",2 Addresses
Societe Generale EUR CoinVertible,EURCV,,"12,175,134",,1.0924,Euro,Bank Deposits - EUR,,,AMF - French Autorité des Marchés Financiers,,2,"166,593",0x5f7...385ff2
Verified USD,USDV,,"5,630,839","5,630,839",0.9964,US Dollar,US Treasury Debt - Tokenized,us_treasury_debt,British Virgin Islands,MAS - Monetary Authority of Singapore,,34,"3,584,834",0x0e5...25c7a8
Membrane Finance EUROe,EUROe,,"1,225,605",,1.091,Euro,Bank Deposits - EUR,,Finland,FSA - Finish Financial Supervisory Authority,,9,"167,525",0x820...ee2974
Tether MXN,MXNT,,,,,,Money Market - Fund+ 6 More,us_treasury_debt,Hong Kong,FinCEN - Financial Crimes Enforcement Network,,,,0 Addresses
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
