DAY,SYMBOL,TOTAL_BORROWS,TOTAL_LIQUIDITY,UTILIZATION_RATE
2022-08-22 00:00:00.000,USDC,242541722.986645,1163220602.81674,0.2085087922
2023-01-02 00:00:00.000,USDC,311155767.844902,738317471.630747,0.4214389877
2022-09-17 00:00:00.000,USDC,256578629.20325,1266679807.91233,0.2025599742
2021-03-22 00:00:00.000,USDC,531980018.046219,612877444.038161,0.8680039104
2021-03-08 00:00:00.000,USDC,416363260.632656,426836387.149477,0.97546337
2020-12-24 00:00:00.000,USDC,86077075.7358147,93813267.867903,0.9175362685
2021-06-15 00:00:00.000,USDC,3318362963.66782,4468249928.17291,0.7426538392
2021-09-17 00:00:00.000,USDC,5187771628.97792,5838460078.30832,0.8885513576
2022-07-16 00:00:00.000,USDC,202683916.784017,1003309049.38998,0.2020154377
2022-07-10 00:00:00.000,USDC,340482976.377521,1085014873.71877,0.313804893
2023-01-12 00:00:00.000,USDC,303398074.617323,729645010.211117,0.4158160069
2022-11-21 00:00:00.000,USDC,346379375.107516,906425795.929502,0.3821375966
2022-06-11 00:00:00.000,USDC,952482984.446098,2127216571.2703,0.4477602315
2022-03-29 00:00:00.000,USDC,1919034601.46648,2558299997.31063,0.7501210192
2022-06-12 00:00:00.000,USDC,749891352.540118,2106813225.91113,0.3559363228
2022-05-19 00:00:00.000,USDC,1041076236.32749,1851414229.74662,0.5623140514
2021-07-02 00:00:00.000,USDC,2740251616.71182,3899787283.00489,0.7026669451
2022-03-14 00:00:00.000,USDC,1246290682.67026,1928057937.54792,0.6463969046
2022-06-15 00:00:00.000,USDC,498607116.435074,1245288146.74219,0.400394975
2022-05-17 00:00:00.000,USDC,1099556240.03167,1784829714.28968,0.6160566642
2022-09-23 00:00:00.000,USDC,244122250.093488,1235946743.36145,0.1975184217
2022-12-08 00:00:00.000,USDC,303540535.19118,715611842.530159,0.4241692453
2022-10-02 00:00:00.000,USDC,257245922.553756,1063360298.45864,0.2419179303
2022-10-07 00:00:00.000,USDC,268577839.534029,1015798985.38043,0.2644005787
2020-08-31 00:00:00.000,USDC,85606515.2245469,203563804.030507,0.4205389835
2021-09-28 00:00:00.000,USDC,4212890131.41217,4766754577.25632,0.8838068046
2022-05-26 00:00:00.000,USDC,999220362.288563,2247441006.80792,0.4446035999
2021-06-11 00:00:00.000,USDC,3236421995.56557,4417122805.42087,0.7326991207
2020-05-10 00:00:00.000,USDC,419380.922020723,1474173.29011552,0.2844854976
2021-07-12 00:00:00.000,USDC,2862078587.902,4118949314.88927,0.6948564717
2022-03-07 00:00:00.000,USDC,1264453272.89679,2134308728.71426,0.5924415975
2021-06-09 00:00:00.000,USDC,3211194324.40898,4425415629.94514,0.7256254763
2022-11-10 00:00:00.000,USDC,556620531.385935,862218381.559434,0.6455679249
2021-01-26 00:00:00.000,USDC,173746934.831337,197919003.478222,0.8778688846
2021-06-29 00:00:00.000,USDC,2843245861.72403,4148104977.29498,0.6854324751
2021-07-21 00:00:00.000,USDC,3981150759.00571,5538584327.72172,0.718802951
2022-10-05 00:00:00.000,USDC,262382205.882726,1010658145.16597,0.2596151895
2023-01-04 00:00:00.000,USDC,305114963.587759,720751658.876705,0.4233288399
2021-05-17 00:00:00.000,USDC,3038596106.96221,3422680727.54944,0.8877825158
2022-12-06 00:00:00.000,USDC,305548385.790762,716383767.756329,0.4265149485
2022-04-25 00:00:00.000,USDC,2157473763.86102,2995702317.16602,0.7201896368
2020-12-22 00:00:00.000,USDC,92399383.2260864,90743707.5461501,1.018245625
2021-03-16 00:00:00.000,USDC,506632229.81301,548482197.508248,0.9236985851
2022-07-25 00:00:00.000,USDC,246799160.247069,1036594760.74987,0.2380864438
2021-09-07 00:00:00.000,USDC,5311955666.75488,5985677402.14964,0.8874443626
