symbol,name,minethecoin_link,algorithm,market_cap,market_cap_pretty,hash_rate,hash_rate_pretty,rentable_capacity,rentable_capacity_pretty,nicehash_market_link,attack_hourly_cost,attack_hourly_cost_pretty,network_vs_rentable_ratio,rentable_price_btc,rentable_price_units,rentable_price_usd_hour,block_time
BTC,Bitcoin,https://google.com,SHA-256,355174310335.0,$355.17 B,114915297523800740223,"114,915 PH/s",4.46452622496894e+17,446 PH/s,https://www.nicehash.com/algorithm/sha256,716071.966340356,"$716,072",0.0038850582308628387,0.008,PH,$6.23,716.0
ETH,Ethereum,https://google.com,Ethash,67762751140.0,$67.76 B,252587392739937,253 TH/s,8316960440821.01,8 TH/s,https://www.nicehash.com/algorithm/ethash,418437.9745327816,"$418,438",0.03292706081092543,2.078,TH,"$1,656.61",13.4519
LTC,Litecoin,https://google.com,Scrypt,5809864904.0,$5.81 B,226522165612507,227 TH/s,12760261161316.525,13 TH/s,https://www.nicehash.com/algorithm/scrypt,29286.719809475067,"$29,287",0.05633118121934462,0.162,TH,$129.29,140.0
BCH,BitcoinCashABC,https://google.com,SHA-256,5442445606.0,$5.44 B,1373679255112246134,"1,374 PH/s",4.46452622496894e+17,446 PH/s,https://www.nicehash.com/algorithm/sha256,8559.810804348757,"$8,560",0.3250049972257996,0.008,PH,$6.23,776.0
BSV,BitcoinSV,https://google.com,SHA-256,3173401748.0,$3.17 B,1109247865036266496,"1,109 PH/s",4.46452622496894e+17,446 PH/s,https://www.nicehash.com/algorithm/sha256,6912.058855443934,"$6,912",0.40248229144195596,0.008,PH,$6.23,588.0
DASH,Dash,https://google.com,X11,1036730077.0,$1.04 B,7185540690870541,7 PH/s,126599027412439.75,127 TH/s,https://www.nicehash.com/algorithm/x11,3246.397558731009,"$3,246",0.01761858054374222,0.567,PH,$451.80,157.0
ZEC,Zcash,https://google.com,Equihash,802852101.0,$802.85 M,7734017741,8 GH/s,265749975.4440713,266 MH/s,https://www.nicehash.com/algorithm/equihash,8709.820240690035,"$8,710",0.03436117996410364,0.001,MSol,$1.13,75.0
BTG,BitcoinGold,https://google.com,Zhash,157323083.0,$157.32 M,868621,869 KH/s,521776.31156981364,522 KH/s,https://www.nicehash.com/algorithm/zhash,328.8348738262881,$329,0.6006950229960059,0.475,MSol,$378.57,579.0
XVG,Verge-Lyra2REv2,https://google.com,Lyra2REv2,116074005.0,$116.07 M,12988755127379,13 TH/s,5096699949957.264,5 TH/s,https://www.nicehash.com/algorithm/lyra2rev2,47.100097188887695,$47,0.3923932586282983,0.005,TH,$3.63,150.0
RVN,Ravencoin,https://google.com,KawPow,107444874.0,$107.44 M,1534588742754,2 TH/s,638085304498.7927,638 GH/s,https://www.nicehash.com/algorithm/kawpow,4097.608993745432,"$4,098",0.4158021538419952,0.003,GH,$2.67,60.0
MONA,Monacoin,https://google.com,Lyra2REv2,89193658.0,$89.19 M,181436312189762,181 TH/s,5096699949957.264,5 TH/s,https://www.nicehash.com/algorithm/lyra2rev2,657.9281735566593,$658,0.028090848455003252,0.005,TH,$3.63,94.0
CKB,Nervos,https://google.com,Eaglesong,82692895.0,$82.69 M,12664296380630264,13 PH/s,16967818458105.975,17 TH/s,https://www.nicehash.com/algorithm/eaglesong,1344.1978431386576,"$1,344",0.0013398153318693524,0.133,PH,$106.14,11.786
QKC,QuarkChain,https://google.com,Ethash,53244023.0,$53.24 M,15034274268,15 GH/s,8316960440821.01,8 TH/s,https://www.nicehash.com/algorithm/ethash,24.90587992152615,$25,553.1999943970299,2.078,TH,"$1,656.61",9.7103
AE,Aeternity,https://google.com,CuckooCycle,40454336.0,$40.45 M,85939,86 KH/s,4303.04,4 KH/s,https://www.nicehash.com/algorithm/cuckoocycle,323.58343498315253,$324,0.050070864217642744,0.005,kG,$3.77,177.0
HNS,Handshake,https://google.com,Handshake,37463890.0,$37.46 M,3267431384481791,3 PH/s,0.0,0 H/s,https://www.nicehash.com/algorithm/handshake,?,?,0.0,0.000,TH,$0.00,768.0
ARRR,Pirate,https://google.com,Equihash,29131377.0,$29.13 M,487833778,488 MH/s,265749975.4440713,266 MH/s,https://www.nicehash.com/algorithm/equihash,549.3838592057981,$549,0.5447551756944377,0.001,MSol,$1.13,63.0
LBC,LBRY,https://google.com,LBRY,13344597.0,$13.34 M,86717251611250,87 TH/s,117737422189697.88,118 TH/s,https://www.nicehash.com/algorithm/lbry,105.76320942319467,$106,1.3577162560168543,1.530,PH,"$1,219.63",159.0
VTC,Vertcoin,https://google.com,Lyra2REv3,10334260.0,$10.33 M,12833699338041,13 TH/s,11678256422.759716,12 GH/s,https://www.nicehash.com/algorithm/lyra2rev3,79.27715384548044,$79,0.0009099680548182721,0.008,TH,$6.18,150.0
ETP,Metaverse,https://google.com,Ethash,10057309.0,$10.06 M,51073553632,51 GH/s,8316960440821.01,8 TH/s,https://www.nicehash.com/algorithm/ethash,84.60879263269123,$85,162.84279924493134,2.078,TH,"$1,656.61",21.0
SMART,SmartCash,https://google.com,Keccak,4591830.0,$4.59 M,12914080747750,13 TH/s,8288711856273.01,8 TH/s,https://www.nicehash.com/algorithm/keccak,24.70723825309344,$25,0.6418352198794435,0.002,TH,$1.91,55.0
XRC,BitcoinRhodium,https://google.com,X13,4093496.0,$4.09 M,1988954889662,2 TH/s,631046177901.6279,631 GH/s,https://www.nicehash.com/algorithm/x13,7.134893725301981,$7,0.3172752590728023,0.005,TH,$3.59,3702.0
CLO,Callisto,https://google.com,Ethash,3109503.0,$3.11 M,46281923881,46 GH/s,8316960440821.01,8 TH/s,https://www.nicehash.com/algorithm/ethash,76.67094654318431,$77,179.70213300133253,2.078,TH,"$1,656.61",13.0914
