,label,values
0,neg,0.0
1,neu,0.737
2,pos,0.263
3,compound,0.3612
4,neg,0.0
5,neu,0.769
6,pos,0.231
7,compound,0.4019
8,neg,0.0
9,neu,0.69
10,pos,0.31
11,compound,0.4019
12,neg,0.0
13,neu,1.0
14,pos,0.0
15,compound,0.0
16,neg,0.0
17,neu,0.808
18,pos,0.192
19,compound,0.8302
20,neg,0.115
21,neu,0.818
22,pos,0.067
23,compound,-0.3182
24,neg,0.0
25,neu,1.0
26,pos,0.0
27,compound,0.0
28,neg,0.0
29,neu,0.659
30,pos,0.341
31,compound,0.4767
32,neg,0.0
33,neu,1.0
34,pos,0.0
35,compound,0.0
36,neg,0.0
37,neu,1.0
38,pos,0.0
39,compound,0.0
40,neg,0.0
41,neu,1.0
42,pos,0.0
43,compound,0.0
44,neg,0.0
45,neu,1.0
46,pos,0.0
47,compound,0.0
48,neg,0.0
49,neu,0.928
50,pos,0.072
51,compound,0.2732
52,neg,0.0
53,neu,1.0
54,pos,0.0
55,compound,0.0
56,neg,0.0
57,neu,1.0
58,pos,0.0
59,compound,0.0
60,neg,0.0
61,neu,1.0
62,pos,0.0
63,compound,0.0
64,neg,0.0
65,neu,1.0
66,pos,0.0
67,compound,0.0
68,neg,0.0
69,neu,1.0
70,pos,0.0
71,compound,0.0
72,neg,0.0
73,neu,1.0
74,pos,0.0
75,compound,0.0
76,neg,0.0
77,neu,0.5
78,pos,0.5
79,compound,0.25
80,neg,0.0
81,neu,0.748
82,pos,0.252
83,compound,0.4019
84,neg,0.0
85,neu,1.0
86,pos,0.0
87,compound,0.0
88,neg,0.0
89,neu,0.855
90,pos,0.145
91,compound,0.296
92,neg,0.0
93,neu,1.0
94,pos,0.0
95,compound,0.0
96,neg,0.0
97,neu,1.0
98,pos,0.0
99,compound,0.0
100,neg,0.0
101,neu,0.804
102,pos,0.196
103,compound,0.296
104,neg,0.0
105,neu,1.0
106,pos,0.0
107,compound,0.0
108,neg,0.0
109,neu,0.421
110,pos,0.579
111,compound,0.6705
112,neg,0.0
113,neu,0.588
114,pos,0.412
115,compound,0.6369
116,neg,0.0
117,neu,1.0
118,pos,0.0
119,compound,0.0
120,neg,0.0
121,neu,1.0
122,pos,0.0
123,compound,0.0
124,neg,0.385
125,neu,0.615
126,pos,0.0
127,compound,-0.3612
128,neg,0.0
129,neu,1.0
130,pos,0.0
131,compound,0.0
132,neg,0.2
133,neu,0.8
134,pos,0.0
135,compound,-0.3612
136,neg,0.0
137,neu,1.0
138,pos,0.0
139,compound,0.0
140,neg,0.0
141,neu,1.0
142,pos,0.0
143,compound,0.0
144,neg,0.0
145,neu,1.0
146,pos,0.0
147,compound,0.0
148,neg,0.0
149,neu,1.0
150,pos,0.0
151,compound,0.0
152,neg,0.0
153,neu,0.734
154,pos,0.266
155,compound,0.4404
156,neg,0.0
157,neu,0.874
158,pos,0.126
159,compound,0.3818
160,neg,0.0
161,neu,1.0
162,pos,0.0
163,compound,0.0
164,neg,0.0
165,neu,1.0
166,pos,0.0
167,compound,0.0
168,neg,0.0
169,neu,0.619
170,pos,0.381
171,compound,0.5719
172,neg,0.0
173,neu,0.756
174,pos,0.244
175,compound,0.4404
176,neg,0.0
177,neu,1.0
178,pos,0.0
179,compound,0.0
180,neg,0.0
181,neu,1.0
182,pos,0.0
183,compound,0.0
184,neg,0.0
185,neu,1.0
186,pos,0.0
187,compound,0.0
188,neg,0.0
189,neu,1.0
190,pos,0.0
191,compound,0.0
192,neg,0.0
193,neu,1.0
194,pos,0.0
195,compound,0.0
196,neg,0.375
197,neu,0.625
198,pos,0.0
199,compound,-0.5574
200,neg,0.0
201,neu,0.417
202,pos,0.583
203,compound,0.4939
204,neg,0.0
205,neu,0.698
206,pos,0.302
207,compound,0.0772
208,neg,0.0
209,neu,0.282
210,pos,0.718
211,compound,0.6249
212,neg,0.0
213,neu,0.669
214,pos,0.331
215,compound,0.7845
216,neg,0.0
217,neu,1.0
218,pos,0.0
219,compound,0.0
220,neg,0.0
221,neu,1.0
222,pos,0.0
223,compound,0.0
224,neg,0.0
225,neu,1.0
226,pos,0.0
227,compound,0.0
228,neg,0.0
229,neu,0.872
230,pos,0.128
231,compound,0.3919
232,neg,0.0
233,neu,0.781
234,pos,0.219
235,compound,0.743
236,neg,0.0
237,neu,1.0
238,pos,0.0
239,compound,0.0
240,neg,0.0
241,neu,0.444
242,pos,0.556
243,compound,0.3612
244,neg,0.0
245,neu,1.0
246,pos,0.0
247,compound,0.0
248,neg,0.0
249,neu,0.957
250,pos,0.043
251,compound,0.3612
252,neg,0.0
253,neu,1.0
254,pos,0.0
255,compound,0.0
256,neg,0.0
257,neu,0.462
258,pos,0.538
259,compound,0.5423
260,neg,0.0
261,neu,0.949
262,pos,0.051
263,compound,0.3919
264,neg,0.0
265,neu,1.0
266,pos,0.0
267,compound,0.0
268,neg,0.0
269,neu,0.518
270,pos,0.482
271,compound,0.8519
272,neg,0.0
273,neu,0.561
274,pos,0.439
275,compound,0.8555
276,neg,0.0
277,neu,0.872
278,pos,0.128
279,compound,0.765
280,neg,0.0
281,neu,1.0
282,pos,0.0
283,compound,0.0
284,neg,0.0
285,neu,1.0
286,pos,0.0
287,compound,0.0
288,neg,0.0
289,neu,0.776
290,pos,0.224
291,compound,0.3197
292,neg,0.0
293,neu,1.0
294,pos,0.0
295,compound,0.0
296,neg,0.0
297,neu,1.0
298,pos,0.0
299,compound,0.0
300,neg,0.0
301,neu,0.861
302,pos,0.139
303,compound,0.5719
304,neg,0.0
305,neu,1.0
306,pos,0.0
307,compound,0.0
308,neg,0.0
309,neu,1.0
310,pos,0.0
311,compound,0.0
312,neg,0.0
313,neu,0.541
314,pos,0.459
315,compound,0.5267
316,neg,0.0
317,neu,1.0
318,pos,0.0
319,compound,0.0
320,neg,0.121
321,neu,0.879
322,pos,0.0
323,compound,-0.296
324,neg,0.0
325,neu,1.0
326,pos,0.0
327,compound,0.0
328,neg,0.231
329,neu,0.769
330,pos,0.0
331,compound,-0.5106
332,neg,0.042
333,neu,0.848
334,pos,0.11
335,compound,0.4234
336,neg,0.0
337,neu,1.0
338,pos,0.0
339,compound,0.0
340,neg,0.0
341,neu,0.895
342,pos,0.105
343,compound,0.4019
344,neg,0.0
345,neu,1.0
346,pos,0.0
347,compound,0.0
348,neg,0.0
349,neu,0.704
350,pos,0.296
351,compound,0.8779
352,neg,0.0
353,neu,1.0
354,pos,0.0
355,compound,0.0
356,neg,0.0
357,neu,1.0
358,pos,0.0
359,compound,0.0
360,neg,0.367
361,neu,0.469
362,pos,0.164
363,compound,-0.3837
364,neg,0.0
365,neu,1.0
366,pos,0.0
367,compound,0.0
368,neg,0.0
369,neu,0.676
370,pos,0.324
371,compound,0.6908
372,neg,0.0
373,neu,1.0
374,pos,0.0
375,compound,0.0
376,neg,0.0
377,neu,0.625
378,pos,0.375
379,compound,0.4588
380,neg,0.0
381,neu,1.0
382,pos,0.0
383,compound,0.0
384,neg,0.0
385,neu,0.351
386,pos,0.649
387,compound,0.5719
388,neg,0.0
389,neu,0.588
390,pos,0.412
391,compound,0.6808
392,neg,0.0
393,neu,0.351
394,pos,0.649
395,compound,0.5719
396,neg,0.0
397,neu,1.0
398,pos,0.0
399,compound,0.0
400,neg,0.0
401,neu,0.864
402,pos,0.136
403,compound,0.4588
404,neg,0.075
405,neu,0.561
406,pos,0.364
407,compound,0.802
408,neg,0.0
409,neu,0.715
410,pos,0.285
411,compound,0.4927
412,neg,0.0
413,neu,0.747
414,pos,0.253
415,compound,0.7269
416,neg,0.0
417,neu,1.0
418,pos,0.0
419,compound,0.0
420,neg,0.0
421,neu,0.931
422,pos,0.069
423,compound,0.25
424,neg,0.0
425,neu,1.0
426,pos,0.0
427,compound,0.0
428,neg,0.0
429,neu,0.676
430,pos,0.324
431,compound,0.7717
432,neg,0.0
433,neu,1.0
434,pos,0.0
435,compound,0.0
436,neg,0.0
437,neu,1.0
438,pos,0.0
439,compound,0.0
440,neg,0.0
441,neu,1.0
442,pos,0.0
443,compound,0.0
444,neg,0.0
445,neu,1.0
446,pos,0.0
447,compound,0.0
448,neg,0.106
449,neu,0.894
450,pos,0.0
451,compound,-0.1695
452,neg,0.0
453,neu,0.827
454,pos,0.173
455,compound,0.3182
456,neg,0.112
457,neu,0.888
458,pos,0.0
459,compound,-0.2846
460,neg,0.0
461,neu,1.0
462,pos,0.0
463,compound,0.0
464,neg,0.0
465,neu,1.0
466,pos,0.0
467,compound,0.0
468,neg,0.0
469,neu,1.0
470,pos,0.0
471,compound,0.0
472,neg,0.0
473,neu,1.0
474,pos,0.0
475,compound,0.0
476,neg,0.139
477,neu,0.861
478,pos,0.0
479,compound,-0.2732
480,neg,0.047
481,neu,0.806
482,pos,0.147
483,compound,0.5584
484,neg,0.0
485,neu,0.928
486,pos,0.072
487,compound,0.2755
488,neg,0.0
489,neu,1.0
490,pos,0.0
491,compound,0.0
492,neg,0.0
493,neu,1.0
494,pos,0.0
495,compound,0.0
496,neg,0.0
497,neu,0.588
498,pos,0.412
499,compound,0.2732
500,neg,0.0
501,neu,0.872
502,pos,0.128
503,compound,0.296
504,neg,0.0
505,neu,1.0
506,pos,0.0
507,compound,0.0
508,neg,0.0
509,neu,0.852
510,pos,0.148
511,compound,0.6956
512,neg,0.0
513,neu,1.0
514,pos,0.0
515,compound,0.0
516,neg,0.0
517,neu,1.0
518,pos,0.0
519,compound,0.0
520,neg,0.0
521,neu,1.0
522,pos,0.0
523,compound,0.0
524,neg,0.128
525,neu,0.872
526,pos,0.0
527,compound,-0.296
528,neg,0.0
529,neu,1.0
530,pos,0.0
531,compound,0.0
532,neg,0.0
533,neu,1.0
534,pos,0.0
535,compound,0.0
536,neg,0.0
537,neu,1.0
538,pos,0.0
539,compound,0.0
540,neg,0.5
541,neu,0.5
542,pos,0.0
543,compound,-0.25
544,neg,0.0
545,neu,0.786
546,pos,0.214
547,compound,0.4588
548,neg,0.0
549,neu,0.78
550,pos,0.22
551,compound,0.4767
552,neg,0.0
553,neu,0.861
554,pos,0.139
555,compound,0.5267
556,neg,0.0
557,neu,0.742
558,pos,0.258
559,compound,0.8107
560,neg,0.068
561,neu,0.836
562,pos,0.096
563,compound,0.2247
564,neg,0.0
565,neu,1.0
566,pos,0.0
567,compound,0.0
568,neg,0.0
569,neu,1.0
570,pos,0.0
571,compound,0.0
572,neg,0.0
573,neu,1.0
574,pos,0.0
575,compound,0.0
576,neg,0.0
577,neu,0.822
578,pos,0.178
579,compound,0.3818
580,neg,0.0
581,neu,0.711
582,pos,0.289
583,compound,0.6249
584,neg,0.0
585,neu,1.0
586,pos,0.0
587,compound,0.0
588,neg,0.0
589,neu,1.0
590,pos,0.0
591,compound,0.0
592,neg,0.0
593,neu,0.859
594,pos,0.141
595,compound,0.3182
596,neg,0.058
597,neu,0.942
598,pos,0.0
599,compound,-0.5267
600,neg,0.0
601,neu,1.0
602,pos,0.0
603,compound,0.0
604,neg,0.206
605,neu,0.794
606,pos,0.0
607,compound,-0.5267
608,neg,0.0
609,neu,0.779
610,pos,0.221
611,compound,0.1779
612,neg,0.0
613,neu,0.351
614,pos,0.649
615,compound,0.5719
616,neg,0.0
617,neu,0.351
618,pos,0.649
619,compound,0.5719
620,neg,0.0
621,neu,0.813
622,pos,0.187
623,compound,0.3182
624,neg,0.0
625,neu,1.0
626,pos,0.0
627,compound,0.0
628,neg,0.0
629,neu,0.945
630,pos,0.055
631,compound,0.3612
632,neg,0.0
633,neu,1.0
634,pos,0.0
635,compound,0.0
636,neg,0.0
637,neu,1.0
638,pos,0.0
639,compound,0.0
640,neg,0.0
641,neu,1.0
642,pos,0.0
643,compound,0.0
644,neg,0.094
645,neu,0.755
646,pos,0.151
647,compound,0.296
648,neg,0.0
649,neu,0.807
650,pos,0.193
651,compound,0.4723
652,neg,0.146
653,neu,0.854
654,pos,0.0
655,compound,-0.34
656,neg,0.07
657,neu,0.852
658,pos,0.078
659,compound,0.0516
660,neg,0.0
661,neu,1.0
662,pos,0.0
663,compound,0.0
664,neg,0.0
665,neu,1.0
666,pos,0.0
667,compound,0.0
668,neg,0.0
669,neu,1.0
670,pos,0.0
671,compound,0.0
672,neg,0.039
673,neu,0.961
674,pos,0.0
675,compound,-0.3182
676,neg,0.0
677,neu,1.0
678,pos,0.0
679,compound,0.0
680,neg,0.0
681,neu,0.874
682,pos,0.126
683,compound,0.6956
684,neg,0.0
685,neu,1.0
686,pos,0.0
687,compound,0.0
688,neg,0.31
689,neu,0.651
690,pos,0.039
691,compound,-0.9709
692,neg,0.057
693,neu,0.672
694,pos,0.271
695,compound,0.802
696,neg,0.122
697,neu,0.717
698,pos,0.161
699,compound,0.0258
700,neg,0.0
701,neu,0.688
702,pos,0.312
703,compound,0.6124
704,neg,0.0
705,neu,0.775
706,pos,0.225
707,compound,0.4404
708,neg,0.129
709,neu,0.736
710,pos,0.135
711,compound,0.0258
712,neg,0.0
713,neu,0.602
714,pos,0.398
715,compound,0.8225
716,neg,0.111
717,neu,0.889
718,pos,0.0
719,compound,-0.3089
720,neg,0.0
721,neu,1.0
722,pos,0.0
723,compound,0.0
724,neg,0.0
725,neu,0.758
726,pos,0.242
727,compound,0.8221
