label,values
neg,0.0
neu,0.737
pos,0.263
compound,0.3612
neg,0.0
neu,0.769
pos,0.231
compound,0.4019
neg,0.0
neu,0.69
pos,0.31
compound,0.4019
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.816
pos,0.184
compound,0.8302
neg,0.115
neu,0.818
pos,0.067
compound,-0.3182
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.659
pos,0.341
compound,0.4767
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.93
pos,0.07
compound,0.2732
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.5
pos,0.5
compound,0.25
neg,0.0
neu,0.748
pos,0.252
compound,0.4019
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.864
pos,0.136
compound,0.296
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.804
pos,0.196
compound,0.296
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.421
pos,0.579
compound,0.6705
neg,0.0
neu,0.588
pos,0.412
compound,0.6369
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.385
neu,0.615
pos,0.0
compound,-0.3612
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.172
neu,0.828
pos,0.0
compound,-0.3612
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.734
pos,0.266
compound,0.4404
neg,0.0
neu,0.874
pos,0.126
compound,0.3818
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.682
pos,0.318
compound,0.4215
neg,0.0
neu,0.604
pos,0.396
compound,0.7096
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.375
neu,0.625
pos,0.0
compound,-0.5574
neg,0.0
neu,0.417
pos,0.583
compound,0.4939
neg,0.0
neu,0.755
pos,0.245
compound,0.0772
neg,0.0
neu,0.37
pos,0.63
compound,0.6249
neg,0.0
neu,0.683
pos,0.317
compound,0.7845
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.872
pos,0.128
compound,0.3919
neg,0.0
neu,0.787
pos,0.213
compound,0.743
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.545
pos,0.455
compound,0.3612
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.462
pos,0.538
compound,0.5423
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.448
pos,0.552
compound,0.9062
neg,0.0
neu,0.561
pos,0.439
compound,0.8555
neg,0.0
neu,0.875
pos,0.125
